Surnames,
BAYAJU,
BAYALKOTI,
BAZAGAIN,
BC,
BDANDARI,
BEDARI,
BEGA,
BEGAM,
BEGHA,
BEGWANI,
BEGWANIT,
BELBASE,
BENJANKAR,
BERIA,
BHA,
BHADANRI,
BHADARI,
BHADEL,
BHADNARI,
BHADRA,
BHAGAT,
BHAI,
BHAIJU,
BHAILA,
BHAINATWA,
BHAJU,
BHAKHAJU,
BHAKTA,
BHAKTARAJ,
BHAN,
BHANDA,
BHANDAI,
BHANDAIR,
BHANDAR,
BHANDARI,
BHANDARY,
BHANDNARI,
BHANSALI,
BHANSHAKAR,
BHANSI,
BHANTANA,
BHAR,
BHARADWAJ,
BHARATEE,
BHARATI,
BHARDWAJ,
BHARGARE,
BHARI,
BHARKHER,
BHARTI,
BHASIMA,
BHASINK,
BHASINKA,
BHAT,
BHATAARAI,
BHATARAI,
BHATARI,
BHATCHAN,
BHATRAI,
BHATT,
BHATTA,
BHATTACHAN,
BHATTACHARYA,
BHATTARA,
BHATTARAI,
BHATTARAUI,
BHATTARI,
BHATTARIA,
BHATTATAI,
BHATTRAI,
BHATTU,
BHAU,
BHAUKAJEE,
BHAUMIK,
BHELE,
BHETAL,
BHETUWAL,
BHETWAL,
BHETWUWAL,
BHHATRY,
BHIKSHU,
BHIMIRE,
BHIMRAJKA,
BHIMSARIYA,
BHITRIKOTI,
BHOCHHIBHOYA,
BHOCHHIBOYA,
BHOJU,
BHOLAN,
BHOMI,
BHOMJAN,
BHOORTEL,
BHORTEL,
BHOSAL,
BHOTE,
BHOTIA,
BHOUJU,
BHOYOYO,
BHTTARAI,
BHUAL,
BHUDHATHOKI,
BHUGAI,
BHUGEL,
BHUI,
BHUJAL,
BHUJEL,
BHUJU,
BHUKHAJU,
BHUL,
BHULAN,
BHURTEL,
BHURTYAL,
BHUSAL,
BHUSHAL,
BHYOJU,
BIBI,
BICHHA,
BIDAK,
BIDARI,
BIDARIN,
BIDERI,
BIDHYA,
BIDHYADHAR,
BIDYADHAR,
BIJAYANANDA,
BIJUKACHHE,
BIJUKCHE,
BIJUKCHEN,
BIJUKCHHE,
BIJUKCHHETIMALA,
BIJUKSHE,
BIKA,
BIKESH,
BIKRAM,
BIMALA,
BIMALI,
BIMB,
BINADI,
BINDARI,
BINDUKAR,
BIRAJI,
BISANKHA,
BISHALTIMALSINA,
BISHANKHA,
BISHET,
BISHOKARMA,
BISHOWKARMA,
BISHT,
BISHTA,
BISHUNKHE,
BISHWAKARMA,
BISHWAS,
BISHWKARMA,
BISHWOKARMA,
BISKIWAKARMA,
BIST,
BISTA,
BISURAL,
BISWAKARMA,
BISWAS,
BISWASH,
BISWKARNMA,
BISWOKARMA,
BITHARI,
BJARACHARYA,
BK,
BLON,
BLOWN,
BM,
BODHAR,
BOGATI,
BOHAJU,
BOHAR,
BOHARA,
BOHORA,
BOHRA,
BOKATI,
BOKHIM,
BOKI,
BOLAKHE,
BOLOKHE,
BOM,
BOMJAN,
BOMZAN,
BOMZON,
BORA,
BOT,
BOTE,
BOTHARA,
BOTHRA,
BRAMHACHARYA,
BRAYAIT,
BUCHA,
BUDA,
BUDACHARYA,
BUDATHOKI,
BUDDACHARYA,
BUDDATHOKI,
BUDDHACHARYA,
BUDDHATHOKI,
BUDHA,
BUDHAAIR,
BUDHACHARYA,
BUDHAMAGAR,
BUDHATHKOI,
BUDHATHOKI,
BUDHATHOKRI,
BUDIYAL,
BUDTHAPA,
BUDTHOKI,
BUHYO,
BULLIONS,
BURA,
BURLAKOTI,
BURMA,
BUTHATHOKI,
BUYO,
BYAHUT,
BYANJAKAR,
BYANJANJAR,
BYANJANKAR,
BYANJU,
CAHUDHARY,
CENTER,
CENTURY,
CHACHAN,
CHAD,
CHADUHARY,
CHAGUTALA,
CHAGUTHEE,
CHAGUTHI,
CHAKATU,
CHAKHUN,
CHAKRADHAR,
CHAKUBAJI,
CHALAUNE,
CHALISE,
CHALISEY,
CHALULAGAIN,
CHAMAR,
CHAMLAGAI,
CHAMLAGAIN,
CHAMLING,
CHAMTHAKURI,
CHAN,
CHANARA,
CHAND,
CHANDA,
CHANDRA,
CHANDRABANSHI,
CHANDRABANSI,
CHANDRAVANSHI,
CHANDTHAKURI,
CHANGUBHARI,
CHANSI,
CHAPAGAI,
CHAPAGAIE,
CHAPAGAIIN,
CHAPAGAIN,
CHAPAGI,
CHAPAI,
CHAPAIN,
CHAPANG,
CHAPGAIN,
CHAR,
CHARYA,
CHATAUT,
CHATRI,
CHATTRI,
CHATURBEDI,
CHAUBE,
CHAUDAHRY,
CHAUDARY,
CHAUDH,
CHAUDHA,
CHAUDHAR,
CHAUDHARAY,
CHAUDHARI,
CHAUDHARY,
CHAUDHARYA,
CHAUDHRY,
CHAUGUTHI,
CHAUHAN,
CHAUKYAL,
CHAULAGAI,
CHAULAGAIN,
CHAULGAIN,
CHAULGHAI,
CHAULIGAIN,
CHAURARSIYA,
CHAURASIA,
CHAURASIYA,
CHAUREL,
CHAUTUTHI,
CHAWAI,
CHAWAL,
CHAWHAN,
CHAYUDHARY,
CHEETRI,
CHEL,
CHEMJONG,
CHEPANG,
CHETANA,
CHETRI,
CHETTRI,
CHEULAGHI,
CHHA,
CHHANTYAL,
CHHATKULI,
CHHATRI,
CHHAWA,
CHHETI,
CHHETRI,
CHHETRY,
CHHETTRI,
CHHINAL,
CHHLISE,
CHHORI,
CHHOSHYABAGA,
CHHTRI,
CHHUKA,
CHHUKAN,
CHHUNJU,
CHHUSYABAGA,
CHHWAJU,
CHIDI,
CHIKANBANJAR,
CHILUWAL,
CHIMARIYA,
CHIMAURIYA,
CHIMOURIYA,
CHIPALU,
CHITAKAR,
CHITLANGIA,
CHITLANGIYA,
CHITRAKAR,
CHITRAKR,
CHOCHHE,
CHOHAN,
CHOKHAL,
CHOKHANI,
CHOKKAPU,
CHONGBANG,
CHORADIA,
CHOUBEY,
CHOUDHARI,
CHOUDHARY,
CHOUDHARYA,
CHOUHAN,
CHOURASIA,
CHOWDHARY,
CHPAGAIN,
CHUDAL,
CHUDALI,
CHUDHARY,
CHUDHARYA,
CHUKE,
CHULAGAIN,
CHULYADA,
CHULYADHYA,
CHURIHAR,
CHUWAL,
CHWAIN,
CHYAME,
CHYHETRI,
DABADI,
DAFALI,
DAGA,
DAHA,
DAHAKAL,
DAHAL,
DAHIT,
DAIBAGYA,
DAKAL,
DALA,
DALEE,
DALI,
DALLAKOTI,
DAM,
DAMAI,
DAMASE,
DAMBERPAL,
DANAI,
DANDI,
DANGAL,
DANGI,
DANGOL,
DANI,
DANTHA,
DANUWAR,
DARAI,
DARI,
DARJI,
DARLAMEE,
DARLAMI,
DARNAL,
DARSHAN,
DARSHANDHARI,
DAS,
DASAUDI,
DASELLY,
DASH,
DATHEPUTHE,
DAWADI,
DAWAR,
DAYAL,
DBASTOLA,
DC,
DEBADI,
DEDAI,
DEDVKOTA,
DEEP,
DEEPAK,
DENNIS,
DEO,
DEOJA,
DEOJU,
DEOKOTA,
DESAR,
DESEMARU,
DESHAR,
DESHEMARU,
DEUBA,
DEUBANJAR,
DEUJA,
DEULA,
DEV,
DEVAKOTA,
DEVBHANDARI,
DEVGI,
DEVI,
DEVKOTA,
DEWAN,
DHAJISTHA,
DHAKA,
DHAKAISH,
DHAKAL,
DHAKAL`,
DHAKAWA,
DHAKHAL,
DHAKHWA,
DHAL,
DHAMAL,
DHAMALA,
DHAMI,
DHAMLA,
DHANAWAT,
DHANCHHA,
DHANJU,
DHANUK,
DHANUKA,
DHANUSHE,
DHAR,
DHAREL,
DHAREWA,
DHAREWAL,
DHAUBADEL,
DHAUBAJI,
DHAUBANJAR,
DHAUBHADEL,
DHAUNYA,
DHAWADI,
DHAWAL,
DHEWAJOO,
DHIMAL,
DHIR,
DHIRSEN,
DHITAL,
DHMANIYA,
DHNAJU,
DHOBI,
DHODARI,
DHOJU,
DHOLI,
DHONJU,
DHONSHRESTHA,
DHOOT,
DHOUBANJAR,
DHOUBANJARA,
DHOUBHADEL,
DHOUGODA,
DHUGEL,
DHUGODA,
DHUJUSHR,
DHUKHWA,
DHUKUCHHU,
DHULAL,
DHUNGAN,
DHUNGANA,
DHUNGE,
DHUNGEL,
DHUNGNA,
DHUNJU,
DHUNNGANA,
DHWAJ,
DIKSHIT,
DILSHAD,
DIMDUNG,
DISTI,
DIWAKAR,
DIXIT,
DIYALI,
DNGOL,
DOKANIYA,
DOLKAR,
DOLMA,
DONG,
DONGAL,
DONGOL,
DORANG,
DORANGA,
DOTEL,
DR,
DUBBEY,
DUBEDI,
DUBEY,
DUDHANI,
DUGAD,
DUGAR,
DUGU,
DUGUJU,
DULAL,
DUMARU,
DUMJAN,
DUMRE,
DUNGANA,
DUNGEL,
DURA,
DURME,
DUTT,
DUTTA,
DUWADEE,
DUWADI,
DUWAL,
DWA,
DWARE,
DWIREDI,
DWIVEDI,
DYOLA,
ESHWAR,
FAGO,
FAHAD,
FARHEEN,
FARSAL,
FAUJDAR,
FAYAL,
FOYAL,
FULLEL,
FUYAL,
G.C.,
GACHHADAR,
GADAL,
GADERIYA,
GADTAULA,
GADTOLA,
GADTOULA,
GAGUREL,
GAHA,
GAHAMAGAR,
GAHATRAJ,
GAHIRE,
GAIDA,
GAIHRE,
GAIN,
GAINJU,
GAIRE,
GAIRHE,
GAISI,
GAJMER,
GAJMIR,
GAJUREL,
GALAMI,
GAMAL,
GAMBJAR,
GAMI,
GANA,
GANAWALI,
GANDHARI,
GANDHARY,
GANDRAMA,
GANEJOO,
GANEJU,
GANESH,
GANGAI,
GANGAJU,
GANGOL,
GANIKA,
GANSI,
GANWALE,
GARANJA,
GARBUJA,
GARG,
GARTAULA,
GARU,
GASI,
GATAUT,
GATUAM,
GAU,
GAUATAM,
GAUCHAN,
GAUCHEN,
GAUDEL,
GAULI,
GAUMTA,
GAURAV,
GAURISHARIA,
GAURO,
GAUTAM,
GAUTMA,
GAUTTAM,
GAYAWALI,
GC,
GELAL,
GEWALI,
GEYAL,
GHAJU,
GHAL,
GHALA,
GHALAN,
GHALAY,
GHALE,
GHALSENI,
GHAMARI,
GHAMERI,
GHARANA,
GHAREL,
GHARTI,
GHARTICHHETRI,
GHATANI,
GHATRI,
GHATUWA,
GHEMIRE,
GHEMOSU,
GHESHING,
GHIHRE,
GHIMERE,
GHIMIE,
GHIMIR,
GHIMIRA,
GHIMIRE,
GHIMIREE,
GHIMRIE,
GHINANJ,
GHINANJU,
GHIRAIYA,
GHISHING,
GHISING,
GHMIRE,
GHO,
GHORASAINEE,
GHORASAINI,
GHORSAINI,
GHOSE,
GHOSHAL,
GHOTANE,
GHUJEL,
GHUNGANA,
GIDEL,
GIREE,
GIREL,
GIRI,
GIRIA,
GIURUNG,
GM,
GNAWALE,
GNAWALI,
GNYAWALI,
GOCCHHA,
GOCHHEN,
GODAR,
GOEL,
GOENKA,
GOHIVAR,
GOIT,
GOJA,
GOLA,
GOLAY,
GOLCHHA,
GOLDHOUSE,
GOLE,
GOLEA,
GONGA,
GONGAL,
